"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0007292","female gamete generation",145,0.374461685868176,1.57247139816423,0.000459604514956859,0.0108638788336217,0.00928653618394693,2695,"tags=23%, list=11%, signal=21%","3248/3479/55124/56165/5139/5241/11144/221150/2620/675/10403/8549/7153/259266/5347/646799/5764/26271/7272/994/7130/220134/84515/6790/9133/23397/9319/78995/84930/268/4192/29781/596/79173"
"GO:0010971","positive regulation of G2/M transition of mitotic cell cycle",27,0.62800652909529,1.92385945093619,0.000473310066818892,0.0111434469303035,0.00952551337482632,2378,"tags=41%, list=10%, signal=37%","219736/995/983/26271/993/994/51514/891/80174/6240/8317"
"GO:0045814","negative regulation of gene expression, epigenetic",168,0.364171702361037,1.55204719124323,0.000506750558073897,0.0118836010318278,0.0101582034066987,6451,"tags=41%, list=27%, signal=30%","55124/56165/8332/8335/4001/85235/317772/29128/3070/8336/8969/2146/672/8329/3014/3012/3015/3930/54069/1017/79723/26147/1786/3013/8338/8330/3005/3146/29947/80063/84823/64863/11177/10664/653657/23347/54107/723790/6839/55183/1111/84444/23468/8726/92815/22823/23512/90378/3622/10155/115426/64783/7175/3192/11335/94239/8520/3066/57673/25942/23411/10951/10419/53615/3021/54737/10919/55051/1859"
"GO:0022617","extracellular matrix disassembly",54,-0.545779570708666,-1.78974999784949,0.00050883781415161,0.01188556988725,0.0101598864010877,2592,"tags=31%, list=11%, signal=28%","3569/1520/780/57326/1803/4035/124056/2191/4324/10630/5340/1215/3936/4316/4321/11096/4314"
"GO:0098534","centriole assembly",45,0.524165373138807,1.8033974007674,0.000521129667656985,0.0121249502674859,0.0103645107895618,6411,"tags=69%, list=27%, signal=50%","159989/284403/672/55722/6491/22995/10733/163786/1017/55835/9738/25914/9662/64793/55125/85459/23636/56890/55755/221908/7840/729440/80817/4869/10432/80254/26005/100653515/79959/153241/152185"
"GO:0019722","calcium-mediated signaling",195,-0.403020415315245,-1.59703119859025,0.000528911971896973,0.0122579481611904,0.0104781985222024,6179,"tags=39%, list=26%, signal=29%","10519/1012/1240/6548/5159/5533/57192/168620/2904/2274/3710/2769/351/5311/3708/9446/2280/1910/933/11123/5025/1756/444/5587/576/54795/55784/2826/2494/7124/5535/5024/4987/2890/6348/5788/53373/9034/55283/2946/4773/683/2898/127262/5164/1827/374403/493/201191/10231/255231/5621/29995/1237/5341/1238/6543/10803/2358/151651/6364/1230/2915/1236/2903/2833/2902/7852/6261/58529/287/2892/51778/799/3270/5026"
"GO:0008202","steroid metabolic process",276,-0.367465717016493,-1.50845528363621,0.000533046618069593,0.0123057026653965,0.0105190194792517,6882,"tags=43%, list=29%, signal=31%","4597/6715/23541/2224/2260/5641/1609/10948/50814/64746/100288072/6591/2770/23780/3291/7436/4047/79644/8720/3156/5205/1593/231/158219/1958/27122/4864/23600/51141/351/134429/11161/1594/7108/403313/4041/5959/654/1910/706/10577/6721/1727/1109/10901/8630/3953/3949/6713/2222/9885/3157/4779/6609/8029/1050/412/3292/8431/2494/6716/7124/51302/283238/1555/8856/1581/866/6309/25976/3422/1717/2629/9563/6770/20/2055/3638/174/3490/427/6799/33/6307/1646/51706/3988/3624/8435/8608/338/19/255738/91734/2246/10858/6095/54206/441282/1558/1601/64816/3815/5618/407031/3290/340895/133/442038/3952/190/3990/1588/145264/6469/10170/25830/6696"
"GO:0036293","response to decreased oxygen levels",291,-0.363275989400865,-1.49877075314907,0.000553521280470604,0.0127288440195042,0.0108807243137796,6295,"tags=35%, list=27%, signal=26%","10397/8678/3291/6714/4512/9777/4524/26355/6548/5034/4824/132864/857/842/210/1958/112399/9520/5743/54541/3708/8996/4891/7009/7049/5230/4921/4313/57085/4017/7057/57103/7042/8837/5465/23576/3091/57142/6517/283/84709/5351/18/406932/28996/5021/3776/4985/134/2660/7124/5024/4504/5740/664/1291/5163/6326/1365/6505/65018/6387/2277/2043/378938/79625/6422/1803/5352/84557/3624/93649/6513/3976/7422/665/6095/6657/6648/7097/10370/2034/4693/6547/1410/3778/6781/7412/133/3952/51378/1813/3751/64506/205/28984/7852/2155/6261/102724560/114757/3777/51129"
"GO:0006790","sulfur compound metabolic process",302,-0.358979189290543,-1.48379168144742,0.000568000157468715,0.0130113704025555,0.0111222302730513,7859,"tags=42%, list=33%, signal=28%","55/23417/1497/26229/6647/6785/126792/9200/4967/92126/2730/2947/128486/373156/2720/47/2181/2135/10560/347734/138050/7849/5165/9524/55902/4597/9060/10678/3073/686/4258/3417/64132/27010/25874/7263/222537/29940/84836/4524/9375/2131/3156/653689/55501/3141/2690/3074/2950/2941/8459/11332/2132/23474/341392/79877/2817/9446/6448/56548/1910/79993/8876/2729/4669/2180/2137/8534/215/2799/2686/84649/3157/1491/254552/10550/1036/3340/9955/90161/23382/284/10164/9957/2326/54480/80221/22901/266722/5163/58472/6505/2946/27232/50515/64131/6819/6799/3423/79094/79586/5164/9027/93010/109703458/5167/6648/4143/9956/23563/10249/2953/4693/51268/283927/2678/442038/9953/3425/635/5166/6622/102724560/641371/27233/2134/25830"
"GO:0007034","vacuolar transport",161,-0.406734327785551,-1.58366371850869,0.00057410660515611,0.0131006711091969,0.0111985652779034,9427,"tags=57%, list=40%, signal=34%","51271/55737/63971/7415/9648/22879/6845/65082/79666/1191/51172/4534/26985/55823/51510/9737/1176/137492/91782/7879/55048/30845/338382/55275/63910/7251/23295/22863/10254/23355/757/57617/57154/143187/128866/80700/138050/9525/54832/9392/5071/80762/64400/8031/1130/57724/54664/84067/55207/8678/51652/51160/23484/10490/23339/9114/55652/89853/4864/23400/5289/83547/79158/54741/3916/950/25978/411/3920/79156/27072/54602/3482/64747/9842/7782/84572/8878/388/65018/4035/3988/155382/5660/56112/255738/2896/4693/245972/6272/51361"
"GO:0045738","negative regulation of DNA repair",40,0.568134568097145,1.91659094092249,0.000582006126696962,0.0132025056792204,0.0112856143359592,6160,"tags=42%, list=26%, signal=31%","116028/5347/10721/79000/55010/2187/115004/7291/4361/23347/55086/55183/112441434/92797/54537/64110/708"
