"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000253537",28.5910627207192,-2.2814721557381,0.731369022457051,-3.11945418206728,0.00181186437279494,0.0365898109456634
"ENSG00000253953",105.955199858089,-1.51641121165493,0.401999705156183,-3.77216995984059,0.000161833955072581,0.00941253052228531
"ENSG00000164251",337.903002818192,-2.68288844714792,0.625748562964645,-4.28748638980015,1.80706325661819e-05,0.00234933408765883
"ENSG00000173210",616.089652874956,-2.00982987092587,0.48106730234347,-4.17785590734433,2.94269975102034e-05,0.00316156304500248
"ENSG00000120708",14875.9669393176,-1.21754225067667,0.394657384895679,-3.08506136531186,0.00203510159595388,0.0393869487004343
"ENSG00000286953",10.8474678290879,-3.30548786900376,0.974294627920489,-3.39269844488305,0.000692077816626358,0.0221221816136909
"ENSG00000156453",63.3586875078794,-1.87339577040134,0.575681814759425,-3.25422086015384,0.00113703842726304,0.0283727766261072
"ENSG00000250331",63.0103613282872,-3.61762555777833,0.639377295600033,-5.65804507397048,1.53106930327188e-08,1.82209024545533e-05
"ENSG00000286828",42.1715941173089,-1.53997774051602,0.431787496955679,-3.56651767680547,0.00036175641865723,0.0155034170444488
"ENSG00000251513",15.2745944191794,-2.99774217559347,0.868126148876631,-3.45311816660816,0.00055414619969199,0.0194329266219123
"ENSG00000164176",2388.1882071795,-1.30436264020158,0.378722210420877,-3.44411445727472,0.000572933105489495,0.0196537651330997
"ENSG00000156463",168.527837138135,-1.51871700864105,0.389675940706617,-3.8973845957415,9.7237133234289e-05,0.00677304225071687
"ENSG00000113083",4550.35700113507,-1.54291436028163,0.372035697739092,-4.14722127381355,3.36534782425761e-05,0.0034710197459393
"ENSG00000256235",97.4469692941237,-1.39406995683625,0.458739843369606,-3.03891187344075,0.00237434298786284,0.0427133260060767
"ENSG00000120306",71.8337244961754,-1.34886700682294,0.367789288151486,-3.66749943589267,0.000244934090799118,0.0124650503906354
"ENSG00000072682",1370.56817156564,-1.41594374602,0.295615497543498,-4.78981568214857,1.66934581073924e-06,0.000417228825634811
"ENSG00000145901",1026.31915227661,-1.19261008010444,0.390394661706543,-3.05488316589972,0.00225148211420134,0.0414474621450612
"ENSG00000113140",13595.9308203642,-1.02594940402923,0.256716576234138,-3.99642835331954,6.43053317188309e-05,0.00532917342040307
"ENSG00000161011",2449.91318366577,-1.15154157485875,0.26223941364283,-4.39118421926899,1.12734973328647e-05,0.00181679455454948
"ENSG00000113578",117.965847201971,-1.68535834958321,0.50578181697947,-3.33218453689809,0.000861670988162939,0.0251864321731871
"ENSG00000178776",543.422266899679,-1.8927098859821,0.434206195550503,-4.35901169853748,1.30651129412258e-05,0.00193623861319455
"ENSG00000153071",2979.67026090689,-1.81863176713866,0.360109008133527,-5.05022569850381,4.41288361040091e-07,0.000162551719848839
"ENSG00000112378",1952.93223330359,-1.20792917181987,0.307727763093917,-3.92531749386297,8.661541963608e-05,0.00629120731075021
"ENSG00000137266",198.544326953532,-1.52562185689102,0.477707789695327,-3.1936298502983,0.00140496135809131,0.0318863918215544
"ENSG00000158406",15.965829202609,-3.71002268010602,1.11991981971966,-3.31275740886051,0.000923810717176643,0.0258358536825494
"ENSG00000188112",135.237562629028,-1.34712535926894,0.399668058940134,-3.37061050823361,0.000750018173737719,0.023114603916128
"ENSG00000079841",41.5878918058563,-3.04646257925445,0.876805187578613,-3.47450337020424,0.000511799934640255,0.0183438022846858
"ENSG00000283265",13.476816400914,-2.66722092566312,0.737754922111122,-3.61532108526058,0.000299975590447937,0.0138949771252097
"ENSG00000255330",13.0844203611637,-2.48257365720183,0.745788306689311,-3.32879134056476,0.000872237250863862,0.0253573495268141
"ENSG00000112715",1550.12165597674,-1.67129017311998,0.39653733565915,-4.2147107543905,2.50098509786969e-05,0.00290922860519864
"ENSG00000233452",80.9105024274343,-2.67953550506592,0.616923972689152,-4.34338042236536,1.40306862020721e-05,0.00203229387598118
"ENSG00000228495",56.5064493257288,-3.04516609789662,0.756951853244523,-4.02293235011464,5.7478009998161e-05,0.00498546763386606
"ENSG00000260604",111.188706366271,-2.10549771899377,0.506925960148025,-4.15346201322764,3.27482597637873e-05,0.00342329950544293
"ENSG00000146278",268.689600205751,-1.38229132467207,0.283788300271903,-4.87085381373254,1.11117031439214e-06,0.000312562107890197
"ENSG00000130363",172.359043594891,-1.32267112063073,0.402396528215548,-3.28698442428465,0.00101266434672699,0.0268345818052258
"ENSG00000137331",411.069359949257,-1.00754409804683,0.203854451084747,-4.94246798480729,7.71397758173219e-07,0.000253921164185061
"ENSG00000164442",269.686007058546,-1.90176410534339,0.511644750635484,-3.71696201902067,0.000201632741189373,0.0110311486638188
