"MCODE::Clusters (1)","MCODE::Clusters (2)","MCODE::Node Status (1)","MCODE::Node Status (2)","MCODE::Score (1)","MCODE::Score (2)","name","selected","shared name"
"Cluster 12|Cluster 14","","Clustered","Unclustered","2.0","2.0","""9606.ENSP00000369154""","false","""9606.ENSP00000369154"""
"","","Unclustered","Unclustered","1.0666666666666667","1.0666666666666667","""9606.ENSP00000369127""","false","""9606.ENSP00000369127"""
"Cluster 10","","Seed","Unclustered","3.0","3.0","""9606.ENSP00000368984""","false","""9606.ENSP00000368984"""
"","","Unclustered","Unclustered","1.6666666666666667","1.6666666666666667","""9606.ENSP00000368565""","false","""9606.ENSP00000368565"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000358909""","false","""9606.ENSP00000358909"""
"Cluster 8","","Clustered","Unclustered","3.238095238095238","3.238095238095238","""9606.ENSP00000368464""","false","""9606.ENSP00000368464"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000345848""","false","""9606.ENSP00000345848"""
"Cluster 2","","Clustered","Unclustered","17.780748663101605","17.780748663101605","""9606.ENSP00000368458""","false","""9606.ENSP00000368458"""
"Cluster 2","","Clustered","Unclustered","18.63529411764706","18.63529411764706","""9606.ENSP00000368349""","false","""9606.ENSP00000368349"""
"Cluster 2","","Clustered","Unclustered","19.241379310344826","19.241379310344826","""9606.ENSP00000368164""","false","""9606.ENSP00000368164"""
"Cluster 4","","Clustered","Unclustered","11.2","11.2","""9606.ENSP00000367910""","false","""9606.ENSP00000367910"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000367034""","true","""9606.ENSP00000367034"""
"","","Unclustered","Unclustered","0.6666666666666666","0.6666666666666666","""9606.ENSP00000367028""","false","""9606.ENSP00000367028"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000366999""","true","""9606.ENSP00000366999"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000366974""","true","""9606.ENSP00000366974"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000366962""","true","""9606.ENSP00000366962"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000366956""","true","""9606.ENSP00000366956"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.029871977240397","30.029871977240397","""9606.ENSP00000366618""","true","""9606.ENSP00000366618"""
"","","Unclustered","Unclustered","1.6666666666666667","1.6666666666666667","""9606.ENSP00000365782""","false","""9606.ENSP00000365782"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000358815""","false","""9606.ENSP00000358815"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000304676""","false","""9606.ENSP00000304676"""
"Cluster 12|Cluster 14","","Clustered","Unclustered","2.0","2.0","""9606.ENSP00000365280""","false","""9606.ENSP00000365280"""
"","","Unclustered","Unclustered","1.6666666666666667","1.6666666666666667","""9606.ENSP00000365107""","false","""9606.ENSP00000365107"""
"Cluster 13|Cluster 11","","Clustered","Unclustered","1.6666666666666667","1.6666666666666667","""9606.ENSP00000364700""","false","""9606.ENSP00000364700"""
"Cluster 5","","Clustered","Unclustered","4.761904761904762","4.761904761904762","""9606.ENSP00000363745""","false","""9606.ENSP00000363745"""
"Cluster 2","","Clustered","Unclustered","17.657142857142855","17.657142857142855","""9606.ENSP00000363286""","false","""9606.ENSP00000363286"""
"Cluster 7","","Clustered","Unclustered","5.0","5.0","""9606.ENSP00000362962""","false","""9606.ENSP00000362962"""
"","","Unclustered","Unclustered","10.057142857142857","10.057142857142857","""9606.ENSP00000362937""","false","""9606.ENSP00000362937"""
"","","Unclustered","Unclustered","13.359477124183007","13.359477124183007","""9606.ENSP00000362041""","false","""9606.ENSP00000362041"""
"Cluster 2","","Seed","Unclustered","22.0","22.0","""9606.ENSP00000362018""","false","""9606.ENSP00000362018"""
"Cluster 5","","Clustered","Unclustered","5.0","5.0","""9606.ENSP00000361433""","false","""9606.ENSP00000361433"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000360170""","false","""9606.ENSP00000360170"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000354995""","false","""9606.ENSP00000354995"""
"","","Unclustered","Unclustered","10.0","10.0","""9606.ENSP00000360133""","false","""9606.ENSP00000360133"""
"","","Unclustered","Unclustered","2.7","2.7","""9606.ENSP00000359393""","false","""9606.ENSP00000359393"""
"","","Unclustered","Unclustered","1.4","1.4","""9606.ENSP00000358854""","false","""9606.ENSP00000358854"""
"Cluster 11|Cluster 13","","Clustered","Unclustered","2.0","2.0","""9606.ENSP00000358309""","false","""9606.ENSP00000358309"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000358160""","true","""9606.ENSP00000358160"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000345656""","false","""9606.ENSP00000345656"""
"","","Unclustered","Unclustered","0.5","0.5","""9606.ENSP00000358142""","false","""9606.ENSP00000358142"""
"","","Unclustered","Unclustered","2.242424242424242","2.242424242424242","""9606.ENSP00000356448""","false","""9606.ENSP00000356448"""
"","","Unclustered","Unclustered","1.0666666666666667","1.0666666666666667","""9606.ENSP00000355812""","false","""9606.ENSP00000355812"""
"Cluster 6","","Clustered","Unclustered","21.45846153846154","21.45846153846154","""9606.ENSP00000355759""","false","""9606.ENSP00000355759"""
"","","Unclustered","Unclustered","2.0","2.0","""9606.ENSP00000355022""","false","""9606.ENSP00000355022"""
"Cluster 2","","Clustered","Unclustered","19.76284584980237","19.76284584980237","""9606.ENSP00000354720""","false","""9606.ENSP00000354720"""
"","","Unclustered","Unclustered","6.0","6.0","""9606.ENSP00000354361""","false","""9606.ENSP00000354361"""
"Cluster 2","","Clustered","Unclustered","19.60483870967742","19.60483870967742","""9606.ENSP00000353793""","false","""9606.ENSP00000353793"""
"","","Unclustered","Unclustered","1.0","1.0","""9606.ENSP00000262150""","false","""9606.ENSP00000262150"""
"","","Unclustered","Unclustered","0.5","0.5","""9606.ENSP00000353377""","false","""9606.ENSP00000353377"""
"Cluster 1","Cluster 1","Clustered","Clustered","30.0","30.0","""9606.ENSP00000352516""","true","""9606.ENSP00000352516"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000352252""","true","""9606.ENSP00000352252"""
"Cluster 6","","Clustered","Unclustered","20.75098814229249","20.75098814229249","""9606.ENSP00000351185""","false","""9606.ENSP00000351185"""
"Cluster 2","","Clustered","Unclustered","19.058823529411764","19.058823529411764","""9606.ENSP00000349961""","false","""9606.ENSP00000349961"""
"Cluster 1","Cluster 1","Clustered","Clustered","31.784873949579833","31.784873949579833","""9606.ENSP00000348924""","true","""9606.ENSP00000348924"""
"","","Unclustered","Unclustered","10.0","10.0","""9606.ENSP00000348527""","false","""9606.ENSP00000348527"""
"Cluster 1","Cluster 1","Clustered","Clustered","32.29587482219061","32.29587482219061","""9606.ENSP00000347168""","true","""9606.ENSP00000347168"""
"Cluster 1","Cluster 1","Clustered","Clustered","26.0","26.0","""9606.ENSP00000346997""","true","""9606.ENSP00000346997"""
"Cluster 4","","Clustered","Unclustered","10.516483516483516","10.516483516483516","""9606.ENSP00000345571""","false","""9606.ENSP00000345571"""
"Cluster 13|Cluster 11","","Clustered","Unclustered","2.0","2.0","""9606.ENSP00000344758""","false","""9606.ENSP00000344758"""
"","","Unclustered","Unclustered","0.6666666666666666","0.6666666666666666","""9606.ENSP00000258399""","false","""9606.ENSP00000258399"""
"","","Unclustered","Unclustered","8.8","8.8","""9606.ENSP00000343526""","false","""9606.ENSP00000343526"""
"Cluster 7","","Seed","Unclustered","5.333333333333333","5.333333333333333","""9606.ENSP00000342510""","false","""9606.ENSP00000342510"""
